Job_Title,Company,Company_URL,Company_Size,Market (USA/UK),Source_Job-Portal,Job_Link,Posted_Date,Location,All Decision_Maker_Name,All Decision_Maker_Title,All Decision_Maker_LinkedIn,All Decision_Maker_Email
=== USA - Tech Jobs ===
Data Engineer,Slack 4544,https://slack.com,10K+,USA,Redefined,https://www.redefined.co.uk/jobs?q=Data+Engineer&location=London,09/27/2025,"Boston, MA",Matthew White,Technical Director,https://www.linkedin.com/in/matthewwhite72,matthew.white@slack4544.com
Data Engineer,Slack 4544,https://slack.com,10K+,USA,Redefined,https://www.redefined.co.uk/jobs?q=Data+Engineer&location=London,09/27/2025,"Boston, MA",Michael Smith,VP Engineering,https://www.linkedin.com/in/michael-smith,michael.smith@slack4544.com
QA Engineer,Tesla 7166,https://tesla.com,250-500,USA,Redefined,https://www.redefined.co.uk/jobs?q=QA+Engineer&location=London,09/27/2025,"Denver, CO",Mark Martin,Product Manager,,mark.martin@tesla7166.com
QA Engineer,Tesla 7166,https://tesla.com,250-500,USA,Redefined,https://www.redefined.co.uk/jobs?q=QA+Engineer&location=London,09/27/2025,"Denver, CO",Stephanie Jones,VP Engineering,,stephanie.jones@tesla7166.com
Mobile App Developer,HubSpot 8588,https://hubspot.com,1001-5000,USA,Trueup,https://www.trueup.io/jobs?q=Mobile+App+Developer&location=London,09/27/2025,"Chicago, IL",Jennifer Moore,Product Manager,https://www.linkedin.com/in/jennifermoore,jennifer.moore@hubspot8588.com
Senior Software Engineer,Auth0 6040,https://auth0.com,600-1000,USA,IT Job Board,https://www.itjobboard.co.uk/jobs?q=Senior+Software+Engineer&location=London,09/27/2025,"San Francisco, CA",Chris Garcia,VP Engineering,,chris.garcia@auth06040.com
Senior Software Engineer,Auth0 6040,https://auth0.com,600-1000,USA,IT Job Board,https://www.itjobboard.co.uk/jobs?q=Senior+Software+Engineer&location=London,09/27/2025,"San Francisco, CA",Sarah Thomas,Technical Lead,,sarah.thomas@auth06040.com
Site Reliability Engineer,Figma 2192,https://figma.com,5000+,USA,IT Job Board,https://www.itjobboard.co.uk/jobs?q=Site+Reliability+Engineer&location=London,09/27/2025,"Los Angeles, CA",Lisa Brown,Product Manager,https://www.linkedin.com/in/lisabrown88,lisa.brown@figma2192.com
Site Reliability Engineer,Figma 2192,https://figma.com,5000+,USA,IT Job Board,https://www.itjobboard.co.uk/jobs?q=Site+Reliability+Engineer&location=London,09/27/2025,"Los Angeles, CA",Ashley Garcia,Product Manager,,ashley.garcia@figma2192.com
Site Reliability Engineer,Figma 2192,https://figma.com,5000+,USA,IT Job Board,https://www.itjobboard.co.uk/jobs?q=Site+Reliability+Engineer&location=London,09/27/2025,"Los Angeles, CA",David Rodriguez,CTO,https://www.linkedin.com/in/david-rodriguez-34,david.rodriguez@figma2192.com
Cybersecurity Analyst,Shopify 7092,https://shopify.com,1500-5000,USA,IT Job Board,https://www.itjobboard.co.uk/jobs?q=Cybersecurity+Analyst&location=London,09/27/2025,"Seattle, WA",Anna Jones,Senior Developer,https://www.linkedin.com/in/annajones,anna.jones@shopify7092.com
Site Reliability Engineer,Docker 5021,https://docker.com,5000+,USA,WelcometotheJungle,https://www.welcometothejungle.com/en/jobs?q=Site+Reliability+Engineer&location=London,09/27/2025,"Los Angeles, CA",Daniel Jones,Lead Developer,https://www.linkedin.com/in/danieljones,daniel.jones@docker5021.com
Site Reliability Engineer,Docker 5021,https://docker.com,5000+,USA,WelcometotheJungle,https://www.welcometothejungle.com/en/jobs?q=Site+Reliability+Engineer&location=London,09/27/2025,"Los Angeles, CA",Michael Jones,Engineering Manager,https://www.linkedin.com/in/michael-jones,michael.jones@docker5021.com
Site Reliability Engineer,Docker 5021,https://docker.com,5000+,USA,WelcometotheJungle,https://www.welcometothejungle.com/en/jobs?q=Site+Reliability+Engineer&location=London,09/27/2025,"Los Angeles, CA",James Moore,Head of Engineering,https://www.linkedin.com/in/jamesmoore87,james.moore@docker5021.com
AI Engineer,PlanetScale 6085,https://planetscale.com,100K+,USA,WelcometotheJungle,https://www.welcometothejungle.com/en/jobs?q=AI+Engineer&location=London,09/27/2025,"Los Angeles, CA",Amanda Jackson,Director of Engineering,https://www.linkedin.com/in/amandajackson88,amanda.jackson@planetscale6085.com
AI Engineer,PlanetScale 6085,https://planetscale.com,100K+,USA,WelcometotheJungle,https://www.welcometothejungle.com/en/jobs?q=AI+Engineer&location=London,09/27/2025,"Los Angeles, CA",Stephanie Thompson,Technical Director,https://www.linkedin.com/in/stephanie-thompson,stephanie.thompson@planetscale6085.com
Engineering Manager,Calendly 4311,https://calendly.com,10K+,USA,WelcometotheJungle,https://www.welcometothejungle.com/en/jobs?q=Engineering+Manager&location=London,09/27/2025,"Boston, MA",Emily Jackson,CTO,https://www.linkedin.com/in/emilyjackson,emily.jackson@calendly4311.com
Infrastructure Engineer,Microsoft 6866,https://microsoft.com,51-200,USA,Jobsora,https://jobsora.com/jobs?q=Infrastructure+Engineer&location=London,09/27/2025,"San Francisco, CA",Sarah Smith,Product Manager,https://www.linkedin.com/in/sarahsmith,sarah.smith@microsoft6866.com
Infrastructure Engineer,Microsoft 6866,https://microsoft.com,51-200,USA,Jobsora,https://jobsora.com/jobs?q=Infrastructure+Engineer&location=London,09/27/2025,"San Francisco, CA",Anna Jackson,Technical Lead,https://www.linkedin.com/in/annajackson23,anna.jackson@microsoft6866.com
Infrastructure Engineer,Microsoft 6866,https://microsoft.com,51-200,USA,Jobsora,https://jobsora.com/jobs?q=Infrastructure+Engineer&location=London,09/27/2025,"San Francisco, CA",Sarah Rodriguez,Engineering Manager,https://www.linkedin.com/in/sarah-rodriguez-35,sarah.rodriguez@microsoft6866.com
Data Engineer,Square 5739,https://square.com,501-1000,USA,Jobsora,https://jobsora.com/jobs?q=Data+Engineer&location=London,09/27/2025,"Chicago, IL",Ashley Williams,Product Manager,https://www.linkedin.com/in/ashleywilliams20,ashley.williams@square5739.com
Data Engineer,Square 5739,https://square.com,501-1000,USA,Jobsora,https://jobsora.com/jobs?q=Data+Engineer&location=London,09/27/2025,"Chicago, IL",Emily Jackson,VP Engineering,https://www.linkedin.com/in/emily-jackson-46,emily.jackson@square5739.com
Data Engineer,Square 5739,https://square.com,501-1000,USA,Jobsora,https://jobsora.com/jobs?q=Data+Engineer&location=London,09/27/2025,"Chicago, IL",Robert Williams,Senior Developer,https://www.linkedin.com/in/robertwilliams61,robert.williams@square5739.com
Senior Software Engineer,Replicate 2094,https://replicate.com,5-15,USA,Jobsora,https://jobsora.com/jobs?q=Senior+Software+Engineer&location=London,09/27/2025,"Seattle, WA",Michael Rodriguez,Lead Developer,https://www.linkedin.com/in/michael-rodriguez,michael.rodriguez@replicate2094.com
Solutions Architect,Tesla 3302,https://tesla.com,201-500,USA,Jobsora,https://jobsora.com/jobs?q=Solutions+Architect&location=London,09/27/2025,"Chicago, IL",Sarah Johnson,Senior Developer,https://www.linkedin.com/in/sarah-johnson-53,sarah.johnson@tesla3302.com
Data Scientist,Netflix 5667,https://netflix.com,6000+,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=Data+Scientist&location=London,09/27/2025,"Chicago, IL",Jessica Garcia,Technical Lead,https://www.linkedin.com/in/jessica-garcia,jessica.garcia@netflix5667.com
Data Scientist,Netflix 5667,https://netflix.com,6000+,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=Data+Scientist&location=London,09/27/2025,"Chicago, IL",Emily Thomas,Head of Engineering,https://www.linkedin.com/in/emilythomas31,emily.thomas@netflix5667.com
DevOps Engineer,MongoDB 9613,https://mongodb.com,10K+,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=DevOps+Engineer&location=London,09/27/2025,"New York, NY",Stephanie Johnson,VP Product,,stephanie.johnson@mongodb9613.com
DevOps Engineer,MongoDB 9613,https://mongodb.com,10K+,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=DevOps+Engineer&location=London,09/27/2025,"New York, NY",David Thompson,Technical Director,,david.thompson@mongodb9613.com
MLOps Engineer,PostHog 4476,https://posthog.com,60-200,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=MLOps+Engineer&location=London,09/27/2025,"Seattle, WA",Michael Martinez,Lead Developer,,michael.martinez@posthog4476.com
MLOps Engineer,PostHog 4476,https://posthog.com,60-200,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=MLOps+Engineer&location=London,09/27/2025,"Seattle, WA",John Jones,Product Manager,https://www.linkedin.com/in/john.jones,john.jones@posthog4476.com
MLOps Engineer,PostHog 4476,https://posthog.com,60-200,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=MLOps+Engineer&location=London,09/27/2025,"Seattle, WA",Daniel Martin,VP Engineering,https://www.linkedin.com/in/daniel-martin,daniel.martin@posthog4476.com
Site Reliability Engineer,Airbnb 7745,https://airbnb.com,1500-5000,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=Site+Reliability+Engineer&location=London,09/27/2025,"Austin, TX",Ashley Johnson,Lead Developer,https://www.linkedin.com/in/ashley.johnson,ashley.johnson@airbnb7745.com
Site Reliability Engineer,Databricks 7231,https://databricks.com,600-1000,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Site+Reliability+Engineer&location=London%2C+UK,09/27/2025,"Boston, MA",Lisa Miller,Lead Developer,https://www.linkedin.com/in/lisa-miller,lisa.miller@databricks7231.com
Site Reliability Engineer,Databricks 7231,https://databricks.com,600-1000,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Site+Reliability+Engineer&location=London%2C+UK,09/27/2025,"Boston, MA",Daniel Thompson,Senior Developer,https://www.linkedin.com/in/danielthompson,daniel.thompson@databricks7231.com
Security Engineer,Trello 4434,https://trello.com,1001-5000,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Security+Engineer&location=London%2C+UK,09/27/2025,"Denver, CO",Michael Martinez,Technical Lead,https://www.linkedin.com/in/michael-martinez-38,michael.martinez@trello4434.com
Security Engineer,Trello 4434,https://trello.com,1001-5000,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Security+Engineer&location=London%2C+UK,09/27/2025,"Denver, CO",Jennifer Taylor,Head of Engineering,,jennifer.taylor@trello4434.com
Platform Engineer,Retool 8539,https://retool.com,2-10,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Platform+Engineer&location=London%2C+UK,09/27/2025,"Denver, CO",Robert Garcia,CTO,https://www.linkedin.com/in/robert.garcia,robert.garcia@retool8539.com
Platform Engineer,Retool 8539,https://retool.com,2-10,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Platform+Engineer&location=London%2C+UK,09/27/2025,"Denver, CO",Mark Anderson,CTO,https://www.linkedin.com/in/mark-anderson-67,mark.anderson@retool8539.com
Platform Engineer,Retool 8539,https://retool.com,2-10,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Platform+Engineer&location=London%2C+UK,09/27/2025,"Denver, CO",David Smith,Technical Lead,https://www.linkedin.com/in/david.smith,david.smith@retool8539.com
Cloud Architect,Linear 2374,https://linear.com,5-15,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Cloud+Architect&location=London%2C+UK,09/27/2025,"Seattle, WA",Daniel Taylor,Engineering Manager,https://www.linkedin.com/in/danieltaylor,daniel.taylor@linear2374.com
Cloud Architect,Linear 2374,https://linear.com,5-15,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Cloud+Architect&location=London%2C+UK,09/27/2025,"Seattle, WA",David Anderson,CTO,https://www.linkedin.com/in/david-anderson-97,david.anderson@linear2374.com
Cloud Architect,Linear 2374,https://linear.com,5-15,USA,ZipRecruiter,https://www.ziprecruiter.com/jobs-search?search=Cloud+Architect&location=London%2C+UK,09/27/2025,"Seattle, WA",Stephanie Garcia,Head of Engineering,https://www.linkedin.com/in/stephanie-garcia-76,stephanie.garcia@linear2374.com
